x_A,y_A,z_A,site_energy_eV
6.09388879,7.82850434,10.45275748,-3.26163451
17.87494574,14.16797015,17.84182869,-3.25738695
25.81662657,12.05609595,15.29682922,-3.26294514
14.77152076,12.10382316,21.70667287,-3.28801191
18.11234723,17.59594929,13.58916103,-3.27841867
22.43133755,21.97583308,24.91341497,-3.28293644
13.69293223,23.08071035,20.84583715,-3.3359899
24.49970368,12.31168941,17.46632373,-3.25621217
0.53892394,9.93051243,14.46939311,-3.34358041
14.78756308,14.30678711,10.37825062,-3.28218897
8.1731606,12.10927319,23.19655877,-3.27293329
19.14818447,14.32873021,15.34064462,-3.2845824
17.90183185,18.87824223,49.43753803,-3.24715893
2.75078774,24.2068265,13.56738148,-3.28300845
15.82880798,22.06896781,20.00590534,-3.26385652
24.68609072,17.53642299,18.50607541,-3.27040672
14.78902499,18.70410593,16.79056197,-3.27865597
25.77439671,20.90292726,21.69240286,-3.2717392
24.45761346,20.73198672,11.45754034,-3.25781396
8.13714778,18.60537718,15.29280427,-3.2646649
26.82752385,9.96116285,20.84266786,-3.38921229
15.84216971,2.32828218,18.50500963,-3.26959726
20.2283053,3.37903424,14.46645029,-3.36467107
21.28343491,12.05853214,23.19473705,-3.2613546
19.14863919,18.71946843,21.74748465,-3.28119397
8.14617006,20.96939632,16.8260219,-3.25698048
14.78124187,20.93722993,15.34329196,-3.27989966
2.65737468,17.58298163,12.14836247,-3.27509831
22.43951391,11.03897752,18.5394125,-3.2890718
18.11123641,2.34144748,19.99529985,-3.27578337
22.35387952,2.34527882,26.39169149,-3.26203632
15.81967754,10.95732995,13.62848501,-3.26228099
9.22058898,8.90409767,24.86846022,-3.26749117
19.13787888,14.32873959,2.59620161,-3.28110286
25.80152997,14.39225573,4.0687558,-3.26784265
13.69298329,9.93361892,8.08887815,-3.3886651
20.24983049,16.49442967,1.7114188,-3.39038363
25.74334266,18.68605106,10.41146476,-3.28545819
13.71535712,23.0718046,8.09190987,-3.34766993
24.67686878,17.53947207,5.74155831,-3.26882518
25.80618285,12.06468182,2.55145069,-3.26501337
13.70218887,16.47499178,24.02996314,-3.35612712
7.11814919,9.96315998,11.27675745,-3.35105035
19.12926202,12.13749478,4.01268384,-3.28009121
13.71099804,16.49469055,11.28382592,-3.37741867
25.70590667,25.28515342,2.60650747,-3.28450656
15.878201,21.9974545,7.20890824,-3.28366941
22.41062348,17.54722072,7.22855071,-3.2734598
14.73007972,18.63174868,4.06648806,-3.26603724
24.47582656,18.84652885,7.94290025,-3.24641059
19.17022145,20.91249847,23.15790921,-3.28742383
8.10992677,18.62726812,2.54339089,-3.26167507
24.48904392,5.75245414,8.2648777,-3.25852202
14.69149059,5.49564368,4.06264033,-3.27118346
22.35364091,2.3654654,0.88580826,-3.26372481
18.1403668,10.94799416,12.10196762,-3.26434866
22.35123255,22.04235627,12.10730558,-3.26588732
7.10817744,23.08615278,4.90722266,-3.3350337
14.72390807,20.97521466,2.54906294,-3.26814217
25.78003533,18.65007295,23.16207291,-3.27934431
24.64269561,11.02879968,7.19996514,-3.28730796
15.88285966,2.25976722,5.80295357,-3.28251504
24.6883022,2.3635083,12.11199909,-3.26562201
20.25284181,9.93667859,24.03403445,-3.34726301
6.00554096,20.92131152,10.40624904,-3.28256528
17.93009114,25.47106968,14.69103308,-3.26016935
24.46271511,1.05064708,14.29542011,-3.25309643
14.7005172,25.20469237,21.67481318,-3.25550791
4.93868482,17.58518528,13.62800253,-3.27201383
9.42734422,20.70553041,1.91095824,-3.25873729
0.52921955,23.05520886,20.84761485,-3.37341172
11.50023155,17.61715551,18.55185393,-3.28459401
25.70227621,25.29743172,15.36863538,-3.28155449
14.69982094,51.51804672,8.92598944,-3.26143036
7.13247707,23.10460862,24.03545055,-3.39436955
20.27152249,23.05225508,17.6532681,-3.35066031
0.55077646,16.52241606,24.03398906,-3.37689688
15.84569115,24.18284052,13.60326909,-3.28809493
2.71392706,22.00897987,19.9711635,-3.28553787
9.3169528,17.61503317,19.95121614,-3.28361551
14.6913182,5.4834779,16.82756358,-3.26572554
24.4712674,5.74793542,20.99534397,-3.25072127
22.44775492,8.85096244,12.16088189,-3.28347279
8.21348302,7.76625301,16.77879685,-3.28751576
12.56779503,7.75052329,21.73078797,-3.28097524
7.09095707,3.38263953,14.47483966,-3.3844688
4.91780265,4.48510856,13.57734831,-3.28140328
7.09161671,9.94139121,24.02841754,-3.37830188
20.28119336,3.35552708,20.84387789,-3.37544561
7.12127115,9.94479001,17.662593,-3.39368739
13.67749615,9.95085501,14.46770692,-3.34478693
50.93209583,2.25434931,12.1610782,-3.28565762
13.6802437,9.93152281,20.84249925,-3.40023266
4.93238808,2.27292685,19.97534461,-3.27944914
11.34565409,0.99460776,27.41390901,-3.25527534
2.65933721,10.95658136,13.63571269,-3.26137729
9.31166961,21.96450681,24.91948521,-3.28657266
19.24488159,25.19690557,4.07423046,-3.26198931
26.80128095,3.36653682,4.90468019,-3.38686425
14.70021455,25.21834318,8.9246513,-3.25714227
4.99864088,17.53187152,0.88609248,-3.25674708
13.67324827,23.09257155,14.46973201,-3.39878704
2.66654296,22.08108378,7.26755744,-3.26229791
13.65016388,16.51800632,4.90534562,-3.37242398
25.70643906,27.47306023,4.01793064,-3.28602494
14.77053715,1.19477804,23.15731936,-3.28025937
11.49461782,21.9669462,13.58137773,-3.2833225
19.23058782,18.64847915,8.93687584,-3.26672824
2.88093512,18.87375726,14.56441037,-3.24989462
11.48314148,21.96837704,0.82852827,-3.2863201
4.98240422,22.07221002,5.74424948,-3.26100622
9.29551903,17.62972944,7.21193888,-3.28329961
14.69765348,7.81651156,2.54905134,-3.26779771
25.8103168,7.83413813,8.91352271,-3.26372017
19.21202955,7.80952867,23.19928453,-3.26095335
9.201589,2.33025619,0.88492152,-3.26022574
11.55931289,10.99422883,7.25437698,-3.26564064
24.63034575,4.49063193,5.79286508,-3.27925045
9.4777411,1.01200544,49.72767797,-3.25571789
4.9777037,10.94972339,12.11100999,-3.26053014
20.27316242,9.92489161,11.27465074,-3.35593427
8.20631119,5.53628936,2.58779579,-3.28315414
11.54851706,8.87857133,0.85370504,-3.27194484
26.84840618,3.37826599,24.03372414,-3.37590053
9.46924611,12.30166775,7.9559297,-3.25390029
0.53775801,3.36248125,4.9045045,-3.34153351
8.21423323,5.56471544,15.3570768,-3.28460425
4.92888738,11.04644964,24.91745889,-3.27820255
22.59009749,12.29540909,8.23863739,-3.24991725
5.99818806,14.31345656,15.35878007,-3.28531387
12.65825362,14.38088902,16.80175943,-3.27269519
2.68460201,8.8621885,19.97065821,-3.28041093
15.85827381,4.45670514,12.16970207,-3.28287629
24.63835445,8.85018437,0.82626891,-3.28600742
16.00592153,7.56498548,17.46533763,-3.25738816
25.73559251,1.20122669,16.77639683,-3.28753042
11.33922349,12.32078335,17.49886979,-3.25304026
1.64892448,12.10960477,8.9705683,-3.28270166
